meldcode;fabrikant;model;vermogen_kw;naam_koudemiddel;gwp;categorie;subsidiebedrag_2024;subsidiebedrag_2025;bron_2024_url;bron_2025_url;confidence_2024;confidence_2025;match_methode;datum_opgehaald
KA17893;Hitachi;Multi Yutampo RAM-53/70-NYPxE + TAW190RHC;0.0;R032;675;Warmtepompboiler;725.0;725.0;https://www.rvo.nl/meldcodes-warmtepompen/ka17893-hitachi-multi-yutampo-ram-5370-nypxe-taw190rhc;https://www.rvo.nl/meldcodes-warmtepompen/ka17893-hitachi-multi-yutampo-ram-5370-nypxe-taw190rhc;0.95;0.95;meldcode;2026-03-27
KA17907;Viessmann;Vitocal 300-G BWC 301.C06;6.0;R410A;2088;Grond-Water;4425.0;4425.0;https://www.rvo.nl/meldcodes-warmtepompen/ka17907-viessmann-vitocal-300-g-bwc-301c06;https://www.rvo.nl/meldcodes-warmtepompen/ka17907-viessmann-vitocal-300-g-bwc-301c06;0.95;0.95;meldcode;2026-03-27
KA17909;NIBE;S1155-25;25.0;R410A;2088;Grond-Water;6675.0;6675.0;https://www.rvo.nl/meldcodes-warmtepompen/ka17909-nibe-s1155-25;https://www.rvo.nl/meldcodes-warmtepompen/ka17909-nibe-s1155-25;0.95;0.95;meldcode;2026-03-27
KA17918;Viessmann;Vitocal 060-A 180L TOE;0.0;R1234ze;7;Warmtepompboiler;725.0;725.0;https://www.rvo.nl/meldcodes-warmtepompen/ka17918-viessmann-vitocal-060-180l-toe;https://www.rvo.nl/meldcodes-warmtepompen/ka17918-viessmann-vitocal-060-180l-toe;0.95;0.95;meldcode;2026-03-27
KA17928;ARTEL;DHWHP100;0.0;R134A;1430;Warmtepompboiler;725.0;725.0;https://www.rvo.nl/meldcodes-warmtepompen/ka17928-artel-dhwhp100;https://www.rvo.nl/meldcodes-warmtepompen/ka17928-artel-dhwhp100;0.95;0.95;meldcode;2026-03-27
KA17931;Mitsubishi Electric;PUHZ-SW75YAA + ERST30D-VM2ED;6.0;R410A;2088;Lucht-Water;2850.0;2375.0;https://www.rvo.nl/meldcodes-warmtepompen/ka17931-mitsubishi-electric-puhz-sw75yaa-erst30d-vm2ed;https://www.rvo.nl/meldcodes-warmtepompen/ka17931-mitsubishi-electric-puhz-sw75yaa-erst30d-vm2ed;0.95;0.95;meldcode;2026-03-27
KA17955;Ferroli;EGEA 260 LT-S;0.0;R134A;1430;Warmtepompboiler;725.0;725.0;https://www.rvo.nl/meldcodes-warmtepompen/ka17955-ferroli-egea-260-lt-s;https://www.rvo.nl/meldcodes-warmtepompen/ka17955-ferroli-egea-260-lt-s;0.95;0.95;meldcode;2026-03-27
KA17962;Viessmann;Vitocal 262-A T2E-ze/ T2H-ze;0.0;R1234ze;7;Warmtepompboiler;725.0;725.0;https://www.rvo.nl/meldcodes-warmtepompen/ka17962-viessmann-vitocal-262-t2e-ze-t2h-ze;https://www.rvo.nl/meldcodes-warmtepompen/ka17962-viessmann-vitocal-262-t2e-ze-t2h-ze;0.95;0.95;meldcode;2026-03-27
KA17963;Ferroli;EGEA 260 LT;0.0;R134A;1430;Warmtepompboiler;725.0;725.0;https://www.rvo.nl/meldcodes-warmtepompen/ka17963-ferroli-egea-260-lt;https://www.rvo.nl/meldcodes-warmtepompen/ka17963-ferroli-egea-260-lt;0.95;0.95;meldcode;2026-03-27
KA17967;Viessmann;Vitocal 200-G BWC201.B17;17.0;R410A;2088;Grond-Water;5475.0;5475.0;https://www.rvo.nl/meldcodes-warmtepompen/ka17967-viessmann-vitocal-200-g-bwc201b17;https://www.rvo.nl/meldcodes-warmtepompen/ka17967-viessmann-vitocal-200-g-bwc201b17;0.95;0.95;meldcode;2026-03-27
